"SimID","Size","LambdaIntDev","LambdaSlopeDev","IntraIntDev","IntraSlopeDev","GenericIntDev","GenericSlopeDev","NonGenericIntDev","NonGenericSlopeDev","NumNonGenericInt","NumNonGenericSlope","NumNonGenericSpecies","RMSE","PrelimMaxRhat","PrelimNumDiv","PrelimMeanNeff","FinalMaxRhat","FinalNumDiv","FinalMeanNeff"
865,50,0.0480527886515879,-0.0541743622314194,0.149614455632109,0.000679544444009028,-0.731958596312945,-0.226657623138279,NA,NA,0,0,0,0.338941710132527,1.00252727678027,0,3793.04864779533,1.00272525192413,0,8833.09471987233
865,200,-0.0637874395269655,-0.013526217500114,-0.0308804758767205,0.0199430334847216,-0.417519927561472,0.46992915100377,NA,NA,0,0,0,0.272718740689616,1.00407530539643,0,4558.00307825041,1.0015374853822,0,5803.78201632195
866,10,0.0560956020148138,0.125436897326874,0.146185345047397,0.174771362970511,-2.640118475244,0.189356822133373,NA,NA,0,0,0,0.407827933567412,1.0036142888815,0,4095.08238020653,1.00181226108553,0,8012.46289942476
866,50,-0.10528951517448,0.0143458585545863,-0.04089345555589,0.0473950908061875,-1.36395588398936,0.705620482651486,NA,NA,0,0,0,0.294486381763074,1.00355252012711,0,3087.74967165755,1.00547291264323,0,5477.62839474907
866,200,0.0792211706552501,0.0646119125838981,0.0982421770420383,0.0714280210602389,0.197349732802675,0.373751468973585,0.317704520678386,0.221788829018523,2,2,3,0.236252442895476,1.00244079986718,0,4303.60298530605,1.00155672707072,0,6336.9300855152
867,10,-0.0574087001835509,-0.092682112105175,0.143646950197078,-0.331138093199405,-1.49101477274461,0.511335095667679,NA,NA,0,0,0,0.473152974913017,1.00205800326338,0,4267.15740552793,1.00100763324205,0,6724.72202112645
867,50,0.0629500539628257,0.0883353834454594,0.0789556814904855,0.0956214935949525,-0.450353512070215,0.178633215099456,0.33313812520852,-0.318418404240408,1,1,2,0.328488961008456,1.0019844002032,1,4361.54120129605,1.00183683858266,0,4962.58053025272
867,200,-0.0104248884196558,0.0108852272247082,-0.00838803953925904,-0.00341301476553757,-0.353944508128625,-0.0783334759790108,0.120706331844021,-0.302786904498728,1,1,2,0.310887061247115,1.00304887924698,0,4157.09677876699,1.00320502924538,0,5120.94759140737
868,10,-0.390453716146986,-0.0131819797813603,-3.54166188019128,0.191925685199191,-3.12511332786312,-0.0928247333279872,NA,NA,0,0,0,0.414298290418333,1.00185104806255,0,4163.22155057388,1.00147683512189,0,6047.40421670698
868,50,-0.141281846997649,-0.0635411902637945,-0.223827866865347,-0.0397409259728667,-2.31076826102814,-0.158835397577807,NA,NA,0,0,0,0.444028975593131,1.00187247910258,1,3856.1127240312,1.00030421692559,0,7957.5207657267
868,200,-0.0489170158777161,-0.0383948895295393,0.075153523291871,-0.0763026804242814,-0.97714698890343,-0.434505953033013,NA,NA,0,0,0,0.371677763427414,1.00264394830134,0,4148.11568672861,1.00139364805464,0,4398.83531226893
869,10,-0.0607123182063323,-0.0693604261726377,0.0223252285330759,-0.0486528376216784,-1.24916445916587,0.0946656513137888,NA,NA,0,0,0,0.28408864674486,1.00326268158551,0,4247.46945944544,1.00233433722563,0,6703.8739166119
869,50,-0.00260841322509253,-0.0457139721657948,0.0298716421149572,-0.02868560906691,-0.337878997285071,0.214296779479128,0.0842872888318063,-0.993349987997706,1,1,1,0.277514044626003,1.00183945673822,0,4152.45761842579,1.00155942302642,0,7573.87936536971
869,200,0.05624937429176,0.0408048192735333,0.064158788064117,0.04306401465845,-0.348300950413471,0.239410518995337,0.434583675818273,0.0260673100109831,2,2,4,0.264155829047155,1.00262864689524,0,3984.50828703744,1.00226569757042,0,4538.78134256862
870,10,-0.00853462891567447,0.0574304675698947,0.0381630128173738,0.116425784489141,-1.2483066571176,-0.0405822962922053,NA,NA,0,0,0,0.212688580636758,1.00403751779346,0,5339.34003596639,1.00157543540413,0,5922.1110108489
870,50,-0.0147766522751835,-0.00313648821457979,0.0126332370937949,-0.000802455487892151,-1.23672906994769,0.0882909976118688,NA,NA,0,0,0,0.202946926901779,1.00426395923149,0,4048.4540768648,1.00238507976664,0,5435.84773804854
870,200,-0.078486197368121,-0.027294420656244,-0.0976023566567723,-0.0454651016540112,-0.516386820543128,-0.159655375598366,NA,NA,0,0,0,0.19031021054169,1.00251136208627,1,3529.18480303324,1.00210118609497,0,7606.72829034588
873,10,-4.24451273985937e-05,-0.0695002847975831,-0.000495162732953247,0.0110998584583,-1.23236710227797,-0.265034359548825,NA,NA,0,0,0,0.530270725294554,1.0026427064153,0,4272.82563493177,1.003116572463,0,6545.74331316147
873,50,0.0411008128783479,0.0313504785117084,0.150218303833706,0.175642678296139,-0.963239689229248,-0.197880681463567,NA,NA,0,0,0,0.244049583098319,1.00338742065981,0,4257.265944545,1.00117571413551,0,4335.30390687945
