"","species","run","run.env","time","pop","thinned"
"5652","12",189,-0.0710892383604884,0,27,0
"5653","13",189,-0.0710892383604884,0,0,0
"5654","14",189,-0.0710892383604884,0,0,0
"5655","15",189,-0.0710892383604884,0,0,0
"5656","1",189,-0.0710892383604884,1,66,0
"5657","2",189,-0.0710892383604884,1,0,0
"5658","3",189,-0.0710892383604884,1,0,0
"5659","4",189,-0.0710892383604884,1,54,0
"5660","5",189,-0.0710892383604884,1,0,0
"5661","6",189,-0.0710892383604884,1,0,0
"5662","7",189,-0.0710892383604884,1,9,0
"5663","8",189,-0.0710892383604884,1,103,0
"5664","9",189,-0.0710892383604884,1,0,0
"5665","10",189,-0.0710892383604884,1,6,0
"5666","11",189,-0.0710892383604884,1,0,0
"5667","12",189,-0.0710892383604884,1,23,0
"5668","13",189,-0.0710892383604884,1,0,0
"5669","14",189,-0.0710892383604884,1,0,0
"5670","15",189,-0.0710892383604884,1,0,0
"5671","1",190,0.118870345328436,0,0,0
"5672","2",190,0.118870345328436,0,0,0
"5673","3",190,0.118870345328436,0,34,0
"5674","4",190,0.118870345328436,0,106,0
"5675","5",190,0.118870345328436,0,0,0
"5676","6",190,0.118870345328436,0,0,0
"5677","7",190,0.118870345328436,0,38,0
"5678","8",190,0.118870345328436,0,146,0
"5679","9",190,0.118870345328436,0,0,0
"5680","10",190,0.118870345328436,0,4,0
"5681","11",190,0.118870345328436,0,0,0
"5682","12",190,0.118870345328436,0,20,0
"5683","13",190,0.118870345328436,0,0,0
"5684","14",190,0.118870345328436,0,0,0
"5685","15",190,0.118870345328436,0,0,0
"5686","1",190,0.118870345328436,1,0,0
"5687","2",190,0.118870345328436,1,0,0
"5688","3",190,0.118870345328436,1,28,0
"5689","4",190,0.118870345328436,1,74,0
"5690","5",190,0.118870345328436,1,0,0
"5691","6",190,0.118870345328436,1,0,0
"5692","7",190,0.118870345328436,1,20,0
"5693","8",190,0.118870345328436,1,104,0
"5694","9",190,0.118870345328436,1,0,0
"5695","10",190,0.118870345328436,1,5,0
"5696","11",190,0.118870345328436,1,0,0
"5697","12",190,0.118870345328436,1,20,0
"5698","13",190,0.118870345328436,1,0,0
"5699","14",190,0.118870345328436,1,0,0
"5700","15",190,0.118870345328436,1,0,0
"5701","1",191,0.0691068051329599,0,0,0
"5702","2",191,0.0691068051329599,0,0,0
"5703","3",191,0.0691068051329599,0,35,0
"5704","4",191,0.0691068051329599,0,42,0
"5705","5",191,0.0691068051329599,0,0,0
"5706","6",191,0.0691068051329599,0,0,0
"5707","7",191,0.0691068051329599,0,4,0
"5708","8",191,0.0691068051329599,0,30,0
